title,phone,address
Dom & Phil DeMarinis Original Recipes,N/A,"1211 E Conway St, Milwaukee, WI 53207"
"Marco's ""World Famous"" Pizza - Southeast",(414) 376-5593,"6234 S 27th StMilwaukee, WI 53221"
Dom & Phil DeMarinis Original Recipes,(414) 482-5261,"1211 E Conway StMilwaukee, WI 53207"
Dom & Phil De Marinis Pizza,(414) 286-7742,"1211 E Conway StMilwaukee, WI 53207"
Barbiere's Italian Inn,(414) 453-3800,"5844 W Bluemound RdMilwaukee, WI 53213"
Royal Garden Chinese Restaurant,(414) 906-0998,"206 W Silver Spring DrMilwaukee, WI 53217"
JB's On 41,(414) 281-8200,"4040 S 27th StMilwaukee, WI 53221"
Saz's State House,(414) 453-2410,"5539 W State StMilwaukee, WI 53208"
Maggiano's Little Italy,(414) 978-1000,"2500 N Mayfair RdMilwaukee, WI 53226"
Swig,(414) 431-7944,"217 N BroadwayMilwaukee, WI 53202"
Balistreri's Italian-American Ristorante,(414) 475-1414,"812 N 68th StMilwaukee, WI 53213"
Crazy Water,(414) 645-2606,"839 S 2nd StMilwaukee, WI 53204"
Riverfront Pizzeria Bar & Grill,(414) 277-1800,"509 E Erie StMilwaukee, WI 53202"
The Packing House,(414) 483-5054,"900 E Layton AveMilwaukee, WI 53207"
Il Mito Enoteca,(414) 443-1414,"6913 W North AveMilwaukee, WI 53213"
Meyer's Restaurant & Bar,(414) 321-4400,"4260 S 76th StMilwaukee, WI 53220"
Milwaukee Steakhouse,(414) 312-7891,"6024 W Bluemound RdMilwaukee, WI 53213"
Houlihan's,(414) 764-1500,"6331 S 13th StMilwaukee, WI 53221"
The Capital Grille,(414) 223-0600,"310 W Wisconsin AveMilwaukee, WI 53203"
Genghis Khan Mongolian BBQ,(414) 774-5540,"725 N Mayfair RdMilwaukee, WI 53226"
Odd Duck,(414) 763-5881,"2352 S Kinnickinnic AveMilwaukee, WI 53207"
Sail Loft,(414) 223-0100,"649 E Erie StMilwaukee, WI 53202"
Coquette Cafe,(414) 291-2655,"316 N Milwaukee StMilwaukee, WI 53202"
Mykonos Family Restaurant,(414) 438-1939,"8501 W Capitol DrMilwaukee, WI 53222"
Benihana,(414) 270-0890,"850 N Plankinton AveMilwaukee, WI 53203"
Maxie's,(414) 292-3969,"6732 W Fairview AveMilwaukee, WI 53213"
Kilawat,(414) 291-4793,"139 E Kilbourn AveMilwaukee, WI 53202"
Classic Slice,(414) 238-2406,"2797 S Kinnickinnic AveMilwaukee, WI 53207"
Mo's Irish Pub,(414) 774-9782,"10842 W Bluemound RdMilwaukee, WI 53226"
Flannery's Bar & Restaurant,(414) 278-8586,"425 E Wells StMilwaukee, WI 53202"
Firefly Tosa,(414) 431-1444,"7754 Harwood AveMilwaukee, WI 53213"
Dom & Phil DeMarinis Original Recipes,N/A,"1211 E Conway St, Milwaukee, WI 53207"
"Marco's ""World Famous"" Pizza - Southeast",N/A,"6234 S 27th St, Milwaukee, WI 53221"
Gold Rush Chicken Carry Out & Delivery,N/A,"3500 S Howell Ave, Milwaukee, WI 53207"
Ned's Pizza,N/A,"3246 S 27th St, Milwaukee, WI 53215"
Schwefel's Restaurant,N/A,"N58 W39877 Hwy 16, Oconomowoc, WI 53066"
Schwefel's Restaurant,N/A,"N58 W39877 Hwy 16, Oconomowoc, WI 53066"
Dom & Phil De Marinis Pizza,N/A,"1211 E Conway St, Milwaukee, WI 53207"
Marco's Pizza- Northwest,N/A,"8411 W Lisbon Ave, Milwaukee, WI 53222"
Thai Kitchen,(414) 962-8851,"2851 N Oakland AveMilwaukee, WI 53211"
Riviera Maya,(414) 294-4848,"2258 S Kinnickinnic AveMilwaukee, WI 53207"
J & J Fish & Chicken,(414) 466-4436,"3213 W Villard AveMilwaukee, WI 53209"
The Cork N' Cleaver,(414) 481-4471,"5311 S Howell AveMilwaukee, WI 53207"
Yen Ching,(414) 353-6677,"7630 W Good Hope RdMilwaukee, WI 53223"
